Indicator Name,PSS Insight Indicator #,Data Type,Topic,Definition,Assessment Questions,Purpose and Issues,Preferred Data Sources,Method of Estimation,Proposed Scoring or Benchmarking,Expected Frequency of Data Dissemination,Indicator Reference Number(s),Indicator Source(s),URL
"Existence of a national essential medicines list published within the past five years","PS01","Categorical","Selection","""This indicator monitors existence of an up-to-date Essential Medicines List (EML), it is intended for use with or in place of indicator PS02.""
	If “Yes” please obtain a copy of the pricing information","Rationale: This indicator will help determine the potential savings to the MOH that could be achieved if procurement practices are improved.","""MSH Price Guide, MOH- Procurement unit, Central medical stores""","""The indicator should be presented as the percentages of median international prices for the set of country-defined tracer medicines. If data are collected from different levels of the system, a separate average should be calculated for each level. If a country has more than one public institution, the one that serves the poorest people according to the national poverty level should be chosen to assess using this indicator. If procurement is decentralized, the average procurement price should be used. For instance, if the Ministry of Health institutions are providing services to the poorest patients, the Ministry of Health procurement should be assessed.""
	
	The computation involves two steps:
	""First, the percentages are calculated for each of the tracer medicines by dividing the purchase cost of the comparison unit (e.g., tablet, milliliter, etc.) at the last regular MOH procurement by the median international price of that unit and multiplying the result by 100%.""
	
	
	
	""Second, the average percentage for all tracer medicines is calculated by summing their percentages and dividing by the total number on the list.""","""The original source of the indicator does not set a specific target value. It is important that countries identify their baseline and measure trends over time. Ideally, the median price ratio is below or equal to 100%, however, it is unrealistic to expect that for all tracer medicines a median international price or lower is achieved. Cameron et al found that the median price ratio depends on the income level of the country where the median price ratio is lower for lower income countries than for higher income countries.""
	
	""Comparison of procurement price indices across countries may be useful to compare and contrast the efficiency of procurement processes in different systems, though context (country size, accessibility to transport, income level, etc.) are important contextual factors when attempting to compare across countries.""
Unit of Measure:	Percentage (%)","Every five years
Cross References:	DRUG MANAGEMENT FOR CHILDHOOD ILLNESS MANUAL (See pages 144-145)","","","http://pdf.usaid.gov/pdf_docs/PNACM451.pdf"
"Mean % availability across a basket of medicines","PS04","Continuous","Distribution","The mean availability of a basket of medicines is the % of availability of each preselected product that is available at the time of the facility visit divided by the total number of preselected products on the list.","""If the country collects this data routinely, please enter the percentage (mean) availability across a nationally defined basket of tracer medicines and obtain a copy of their data. If the country does not routinely collect this information, it should be assessed according to the WHO and HAI methodology referenced below.""","Availability is a condition to guarantee access to medicines at the point of service for the consumer or patient.","""Results of facility surveys, interview at MOH pharmaceutical division""","""To compute the mean % availability across a basket of medicines, for each product included in the tracer basket, total the number of facilities where the product is physically present at the time or the survey, divided by the total number of facilities surveyed. Do this for each product in the basket, then sum each fraction and divide the total by the number of tracer products included in the basket. Multiply this by 100% to compute the mean % availability across the tracer basket.""","""Countries should aim for 100% product availability across their tracer baskets; however this may not be appropriate for all contexts. It is possible that certain tracer basket medicines should only be available in secondary or tertiary facilities, for example. Countries should define their tracer baskets according to the epidemiological needs of the country and to provide stock availability data across facility types and conditions. Over time, countries should aim to improve stock availability.""
Unit of Measure:	Percentage (%)","Annually","657","""WHO and HAI. (2008). Measuring medicine prices, availability, affordability and price components, 2nd ed. Geneva: World Health Organization and Health Action International. http://www.haiweb.org/medicineprices/manual/documents.html""","http://www.who.int/medicines/areas/access/OMS_Medicine_prices.pdf"
"Product losses by value due to expired medicines or damage or theft per value received (%)","PS05","Continuous","Distribution","""During storage and distribution of medicines, products may not reach their destination for different reasons: loss during transport, expiry, theft, etc. This indicator measures the % of products by value that are not available out of the total value of products procured""","""In the last calendar year (or the latest year for which data are available) what is the total value of product losses due to expiry, damage, and/or theft? Please indicate the appropriate currency.""
	""In the reference year, what is the value of pharmaceuticals procured? Please indicate the appropriate currency.""
	What is the last year for which data are available?","""To increase efficiency, it is important to minimize waste of products. The closer the indicator value to zero the better.""
	This indicator is intended for use in the public sector only and may only be assessed in systems where the public sector procures pharmaceutical products and distributes them or contracts with a third-party distributor who must report product losses by these categories.
	""In some cases, these data are considered sensitive and are either not collected or may be difficult to obtain.""","""Stock availability records, procurement records, audit reports, registers and police reports. Interviews at MOH pharmaceutical division, CMS, warehouses""","","Countries should aim to reduce product losses over time. The ideal target is 0%.
Unit of Measure:	Percentage (%)","Annually","812","""Wendt, D. (2012). Health system rapid diagnostic tool framework. Operational guide and metrics to measure the strength of priority health system functions. Durham NC: FHI 360. http://www.fhi360.org/sites/default/files/media/documents/Health%20System%20Rapid%20Diagnostic%20Tool.pdf""",""
"% Generic medicines out of total market volume","PS06","Continuous","Use","""Generic: A pharmaceutical product usually intended to be interchangeable with the originator brand product, manufactured without a license from the originator manufacturer and marketed after the expiry of patent or other exclusivity rights.""
	
	""Total market volume: The total number of units (doses, tablets, cases, boxes) dispensed in the country. This can be restricted to the public sector only, or can be disaggregated by procuring entity – donors, government, non-profit/non-governmental, private sector etc.""","How many units of medicines were dispensed in total (by each procuring entity) during the last year for which data are available?
	""During this same period, how many of these dispensed units were generic medicines?""
	What is the last year for which data are available?","Generic medicines are generally cheaper to procure and for consumers to purchase than branded or originator products. This represents cost savings to both the procuring entity and the patient.
	
	""Ideally, this indicator should be computed using unit volumes, rather than values, and should be for volumes dispensed, rather that procured. In systems where dispensing records are readily available, the indicator as defined will give a sense of the relative amount of generic medicines actually dispensed and used in the country, at the patient level.""
	
	""This data may be difficult to obtain in systems without centralized or electronic dispensing records. Where procurement values are available, this may be substituted for volumes instead, but will be less relevant to use and more relevant to the element of selection, as it examines relative volumes procured at central level, rather than volumes in use by patients or dispensed at facility level.""
	
	""Similarly, if volumes are not available, values may be used. Once again, procurement values will shift the meaning of the indicator to be most relevant as a medicine selection indicator. Values of medicines dispensed will still highlight aspects of medicine use, however the relative share of generics to branded products will be obscured, as branded products are generally more expensive.""
	
	""The most useful iteration of this indicator involves computing it twice – once with dispensed volumes and again with dispensed values, to illustrate the relative share of dispensed medicines that are generics (based on volume) and the relative cost of generic medicines compared with branded products at the facility level (based on values).""","Dispensing records of health facilities","","""Countries should monitor their trends over time and aim to increase the share of generics dispensed in the country. Percentages of generics dispensed should be closer to 100%, but it is impractical to expect 100% of medicines dispensed are generics.""
Unit of Measure:	Percentage (%)","Annual","","""Brudon, P., Rainhorn, J. D., Reich, M. R. (1999). Indicators for monitoring national drug policies: a practical manual. Geneva: World Health Organization. http://apps.who.int/medicinedocs/pdf/whozip14e/whozip14e.pdf""",""
"Defined daily dose (DDD) for antimicrobials (per 1000 population)","PS07","Continuous","Use","""Drug consumption can be expressed in cost, number of units, number of prescriptions or by the physical quantity of drugs. However these variables can vary between regions and countries over time. This limits comparisons of drug consumption at an international level. To address this, a technical unit of measurement, the Defined Daily Dose (DDD) was created.""
	
	_ftn1
	
	Antimicrobials: An antimicrobial is an agent that kills microorganisms or stops their growth. These are included in ATC code group J.","""This should be computed according to the methodology in the WHO DDD Toolkit. For more information, refer to the Method of Estimation section.""","""DDDs are only assigned for medicines given an ATC codes. The DDDs are allocated to drugs by the WHO Collaborating Centre in Oslo, working in close association with the WHO International Working Group on Drug Statistics Methodology.""
	
	Only one DDD is assigned per ATC code and route of administration (e.g. oral formulation). The DDD is sometimes a dose that is rarely or never prescribed because it is an average of two or more commonly used doses.
	
	""The DDD is a unit of measurement and does not necessarily correspond to the recommended or Prescribed Daily Dose (PDD). Therapeutic doses for individual patients and patient groups will often differ from the DDD as they will be based on individual characteristics such as age, weight, ethnic differences, type and severity of disease, and pharmacokinetic considerations.""
	
	""Drug utilization data presented in DDDs give a rough estimate of consumption and not an exact picture of actual use. DDDs provide a fixed unit of measurement independent of price, currencies, package size and strength enabling the researcher to assess trends in drug utilization and to perform comparisons between population groups.""
	
	By applying DDD it is possible to:
	
	Examine changes in drug utilization over time
	Make international comparisons
	Evaluate the effect of an intervention on drug use
	Document the relative therapy intensity with various groups of drugs
	Follow the changes in the use of a class of drugs
	Evaluate regulatory effects and effects of interventions on prescribing patterns.","""WHO DDD Index for reference or benchmark DDD (Available here: https://www.whocc.no/atc_ddd_index/), dispensing records to compute DDD for selected antimicrobial agents.""","""Use dispensing, procurement, or consumption data to convert volumes of selected antimicrobials to units of DDD, according to the WHO index. Divide this number by the country’s population during the reference year, and multiply by 1000, to compute DDD per 1000 inhabitants during the reference year. Further information on the methodology can be found here: https://www.whocc.no/use_of_atc_ddd/""
	
	""To select antimicrobials for monitoring and to design an antimicrobial monitoring program, use the WHO methodology for a global programme on surveillance of antimicrobial consumption: https://www.who.int/medicines/areas/rational_use/WHO_AMCsurveillance_1.0.pdf""","Countries should monitor their trends over time and aim to align their consumption of antimicrobials with the DDD index as determined by the WHO.
Unit of Measure:	Decimal","Annual","","""World Health Organization Collaborating Centre for Drug Statistics Methodology. Use of ATC/DDD – DDD Indicators. Available from: https://www.whocc.no/use_of_atc_ddd/#indica
World Health Organization. DDD Toolkit – Definition and general considerations. Available from: https://www.who.int/tools/atc-ddd-toolkit/about-ddd""",""
"% Medicines prescribed from an EML or reimbursement list","PS08","Continuous","Use","This indicator is based on a review of prescriptions within the country. It involves matching the prescription with a product on the essential medicines list or the relevant reimbursement list referenced in indicator PS02","""Of the 20 prescriptions reviewed, how many medicines were listed in the essential medicines list or reimbursement list?""","""The percentage of medicines prescribed from an EML or reimbursement list connects to the Selection component and evaluates how the outcome of the selection process actually relates to the medicines prescribed at health facility level and used by patients in the country. Ideally, this should be done as a routine monitoring exercise using electronic prescribing records. In low- and middle- income country settings, this can be completed through a manual review of prescriptions at health facilities. We have used 20 prescriptions per facility as an example sample size, but adjustments can be made according to country context. Variations in sampling should be made explicit in any reporting documents.""
	
	""It is important to note that the indicator is based on prescriptions from an EML or reimbursement list, not dispensing records. The indicator is intended to examine prescribing behaviors, and products may be substituted at the dispensing point to align with EML or reimbursement lists, and obscure what is actually being prescribed if dispensing records are used.""","""Prescription data collected at health facility level through observed patient encounters and records reviews, electronic prescribing records.""","","""Prescribers should be using the EML or reimbursement list to prescribe from whenever possible. In theory, these lists should also align with the national standard treatment guidelines. These documents together serve to standardize prescribing behavior and align prescriptions with medicine selection processes and according to clinical best practice according to the diagnosed condition. Prescribing from the EML or reimbursement list also reduces costs to patients, who would likely pay out of pocket for any medicine that is not included on the EML or reimbursement list that they are subject to.""
	
	""Countries should monitor their trends over time. The target is 80%, based on prior work to validate the indicator,26 as it is impractical to assume that every prescription should be covered by the EML or reimbursement list, particularly for rare diseases or specialized treatment, such as those for cancer, for example.""
Unit of Measure:	Percentage (%)","At least every five years
Cross References:	""Dong L, Yan H, Wang D. Drug prescribing indicators in village health clinics across 10 provinces of Western China. Fam Pract 2011;28:63""","""I6.5.5a, 0300, 0384, 0074, 0382, 0506, 0076, 0385, 0078, 0383""","""MSH, Center for Pharmaceutical Management. Guidance for incorporating SIAPS-Global Indicators into Portfolio PMPs. Prepared for the Systems for Improved Access to Pharmaceuticals and Services Project. MSH/USAID February 2013.""
	World Health Organization. (1993). How to investigate drug use in health facilities: selected drug use indicators. EDM Research Series No. 007. Geneva: World Health Organization. http://apps.who.int/medicinedocs/en/d/Js2289e/
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	""Brudon, P., Rainhorn, J. D., Reich, M. R. (1999). Indicators for monitoring national drug policies: a practical manual. Geneva: World Health Organization. http://apps.who.int/medicinedocs/pdf/whozip14e/whozip14e.pdf""
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/","http://fampra.oxfordjournals.org/content/28/1/63.long"
"% Medicines prescribed as generics","PS09","Continuous","Use","""Generic: A pharmaceutical product usually intended to be interchangeable with the originator brand product, manufactured without a license from the originator manufacturer and marketed after the expiry of patent or other exclusivity rights.""
	
	_ftn1
	
	This indicator is based on a review of prescriptions within the country. It involves matching the prescription with an international non-proprietary name (INN) or generic product name","""Of the 20 prescriptions reviewed, how many medicines were prescribed using generic name or INN?""","""The percentage of medicines prescribed as generics examines whether prescribers are adhering to best practice and issuing prescriptions by international nonproprietary name (INN), which can have implications on medicine affordability if patients are prescribed and dispensed branded products in lieu of an available generic. This relates to the indicator “% of generic medicines out of total market volume,” which seeks to survey the relative amount of generic medicines actually dispensed in the country. These two indicators taken together assess both prescribing behavior regarding generic medicines and how many generics are actually used and dispensed in the country.""
	
	""It is important to note that the indicator is based on prescriptions, not dispensing records. The indicator is intended to examine prescribing behaviors, and products may be substituted at the dispensing point, and obscure what is actually being prescribed if dispensing records are used.""","""Prescription data collected at health facility level through observed patient encounters and records reviews, electronic prescribing records.""","","""Prescribers should be prescribing by INN whenever possible. Very few prescriptions should contain medicines for which a generic product does not exist or an INN has not been assigned. Prescribing by INN potentially reduces costs to patients, as products included on EML or reimbursement lists are listed according to INN, and any discrepancy from the listed products may preclude substitution of a generic at the dispensing point and cause patients to pay out of pocket for a higher priced branded product, when a generic may be available at reduced or no cost to them. This is particularly true in settings where generic substitution by the dispenser is not permitted.""
	
	""Countries should monitor their trends over time. The target is 80%, based on prior work validating the indicator,26 as it is impractical to assume that every medicine has at least one generic product available in the country.""
Unit of Measure:	Percentage (%)","At least every five years
Cross References:	""Dong L, Yan H, Wang D. Drug prescribing indicators in village health clinics across 10 provinces of Western China. Fam Pract 2011;28:63""","""I6.5.5a, 0300, 0384, 0074, 0382, 0506, 0076, 0385, 0078, 0383""","""MSH, Center for Pharmaceutical Management. Guidance for incorporating SIAPS-Global Indicators into Portfolio PMPs. Prepared for the Systems for Improved Access to Pharmaceuticals and Services Project. MSH/USAID February 2013.""
	World Health Organization. (1993). How to investigate drug use in health facilities: selected drug use indicators. EDM Research Series No. 007. Geneva: World Health Organization. http://apps.who.int/medicinedocs/en/d/Js2289e/
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	""Brudon, P., Rainhorn, J. D., Reich, M. R. (1999). Indicators for monitoring national drug policies: a practical manual. Geneva: World Health Organization. http://apps.who.int/medicinedocs/pdf/whozip14e/whozip14e.pdf""
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	""World Health Organization. International Nonproprietary Names Programme and Classification of Medical Products. Available from: https://www.who.int/teams/health-product-and-policy-standards/inn/#:~:text=International%20Nonproprietary%20Names%20(INN)%20facilitate,known%20as%20a%20generic%20name.""
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/","http://fampra.oxfordjournals.org/content/28/1/63.long"
"% Antibiotics prescribed in outpatient settings","PS10","Continuous","Use","Antimicrobials: An antimicrobial is an agent that kills microorganisms or stops their growth. These are included in ATC code group J.
	An antibiotic is an antimicrobial agent that helps stop infections caused by bacteria. They do this by killing the bacteria or by keeping them from copying themselves or reproducing. Antibiotics are included in ATC code group J01.
	
	""An outpatient setting is a health care facility where patients are treated without being admitted to the facility for extended observation, stay, or treatment.""
	
	""This indicator is based on a review of prescriptions within the country. It involves identifying the number of antimicrobials included in each reviewed prescription, compared to the total number of medicines prescribed.""","""Of the 20 prescriptions reviewed, how many medicines were antibiotics?""","""This indicator examines the behavior and practices of prescribers regarding antimicrobials, which are often over-prescribed. This is a major contributing force to antimicrobial resistance, which threatens the viability of key antimicrobial medicines for future use in fighting key global diseases.""
	
	""It is important to note that the indicator is based on prescriptions, not dispensing records. The indicator is intended to examine prescribing behaviors, and products may be substituted at the dispensing point, and obscure what is actually being prescribed if dispensing records are used.""","""Prescription data collected at health facility level through observed patient encounters and records reviews, electronic prescribing records. These should be specific to outpatient contexts.""","","""Countries should monitor their trends over time. The target is 30%, based on prior work to validate this indicator.26""
Unit of Measure:	Percentage (%)","At least every five years
Cross References:	""Dong L, Yan H, Wang D. Drug prescribing indicators in village health clinics across 10 provinces of Western China. Fam Pract 2011;28:63""","""I6.5.5a, 0300, 0384, 0074, 0382, 0506, 0076, 0385, 0078, 0383""","""MSH, Center for Pharmaceutical Management. Guidance for incorporating SIAPS-Global Indicators into Portfolio PMPs. Prepared for the Systems for Improved Access to Pharmaceuticals and Services Project. MSH/USAID February 2013.""
	World Health Organization. (1993). How to investigate drug use in health facilities: selected drug use indicators. EDM Research Series No. 007. Geneva: World Health Organization. http://apps.who.int/medicinedocs/en/d/Js2289e/
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	""Brudon, P., Rainhorn, J. D., Reich, M. R. (1999). Indicators for monitoring national drug policies: a practical manual. Geneva: World Health Organization. http://apps.who.int/medicinedocs/pdf/whozip14e/whozip14e.pdf""
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/
	WHO. (2007). Operational package for monitoring and assessing country pharmaceutical situations. Guide for coordinators and data collectors. Geneva: World Health Organization. http://apps.who.int/medicinedocs/index/assoc/s14877e/s14877e.pdf
	WH0. (2009). Medicines use in primary care in developing and transitional countries. FactBook summarizing results from studies reported between 1990 and 2006. Geneva: World Health Organization. http://www.who.int/medicines/publications/who_emp_2009.3/en/","http://fampra.oxfordjournals.org/content/28/1/63.long"
"% Population with unmet medicine needs","PS11","Continuous","Use","_ftn1","""Was there any time during the last 12 months when, in your opinion, you needed a medical examination or treatment for a health problem but you did not receive it?""
	""What was the main reason for not obtaining treatment? a) Could not afford to (too expensive); b) Waiting list; c) Could not take time because of work, care for children or for others; d) Too far to travel/no means of transportation; e) Fear of doctor / hospitals / examination / treatment; f) Wanted to wait and see if problem got better on its own; g) Didn't know any good doctor or specialist; h) Other reason""","""This indicator should be collected through routine household surveys, so if a data collection instrument of this nature does not exist in the country, we acknowledge that this indicator will be difficult to collect. This difficulty is balanced by the importance of the indicator in evaluating how the pharmaceutical system is serving patients, and whether patients feel that their medicine needs are being met, which is the ultimate goal of any pharmaceutical system.""","Household surveys","","Countries should monitor their trends over time and aim to decrease the share of their populations that report unmet medicine needs.
Unit of Measure:	Percentage (%)","At least every five years","","""World Health Organization – Global Health Observatory. Extent of self-reported unmet need for health care services in different sub-groups of population. Available from: https://www.who.int/data/gho/indicator-metadata-registry/imr-details/855
Vreman RA, Heikkinen I, Schuurman A, Sapede C, Garcia JL, Hedberg N, Athanasiou D, Grueger J, Leufkens HG, Goettsch WG. Unmet medical need: an introduction to definitions and stakeholder perceptions. Value in Health. 2019 Nov 1;22(11):1275-82.""",""
"An institutional development plan of the national medicines regulatory authority based on the results of the GBT exists","PLG01","Categorical","Coordination and leadership","""The Global Benchmarking Tool (GBT) represents the primary means by which the World Health Organization (WHO) objectively evaluates regulatory systems, as mandated by WHA Resolution 67.20 on Regulatory System Strengthening for medical products. The tool and benchmarking methodology enables WHO and regulatory authorities to:11""
	·       identify strengths and areas for improvement;
	·       facilitate the formulation of an institutional development plan (IDP) to build upon strengths and address the identified gaps;
	·       prioritize IDP interventions; and
	·       monitor progress and achievements.","Has the country completed at least 1 GBT assessment?
	Has the country developed and published an institutional development plan as a result of the last GBT exercise?","""Regulatory systems play a key role in assuring the quality, safety, and efficacy of medical products. Effective regulatory systems are an essential component of health systems and contribute to desired public health outcomes and innovation. Published institutional development plans provide a roadmap for system improvement and are the result of coordination and planning across several pharmaceutical system functions.""","Published IDP","","All countries should aim to prepare and publish an IDP within 1 year of completing a GBT assessment
Unit of Measure:	Yes/No","At least every five years
Cross References:	World Health Organization. WHO Global Benchmarking Tool (GBT) for evaluation of national regulatory systems. World Health Organization.","","","http://www. who. int/medicines/regulation/benchmarking_tool/en/. Published. 2017."
"A progress report on the institutional development of the national medicines regulatory authority published","PLG02","Categorical","Coordination and leadership","""The Global Benchmarking Tool (GBT) represents the primary means by which the World Health Organization (WHO) objectively evaluates regulatory systems, as mandated by WHA Resolution 67.20 on Regulatory System Strengthening for medical products. The tool and benchmarking methodology enables WHO and regulatory authorities to:11""
	·       identify strengths and areas for improvement;
	·       facilitate the formulation of an institutional development plan (IDP) to build upon strengths and address the identified gaps;
	·       prioritize IDP interventions; and
	·       monitor progress and achievements.
	Countries should report progress towards the goals and system improvements documented in the institutional development plan.","Has the country completed at least 1 GBT assessment?
	Has the country developed and published an institutional development plan as a result of the last GBT exercise?
	Has the country published a progress report for the institutional development plan?","""Regulatory systems play a key role in assuring the quality, safety, and efficacy of medical products. Effective regulatory systems are an essential component of health systems and contribute to desired public health outcomes and innovation. Published institutional development plans provide a roadmap for system improvement and are the result of coordination and planning across several pharmaceutical system functions. Progress reports toward the goals identified in the institutional development plan hold stakeholders accountable for advancing toward these goals.""","""Published IDP, published IDP progress report""","","All countries should aim to prepare and publish an IDP within 1 year of completing a GBT assessment
Unit of Measure:	Yes/No","At least every five years
Cross References:	World Health Organization. WHO Global Benchmarking Tool (GBT) for evaluation of national regulatory systems. World Health Organization.","","","http://www. who. int/medicines/regulation/benchmarking_tool/en/. Published. 2017."
"Submission of national data to the Global Antimicrobial Resistance Surveillance System (GLASS)","PLG03","Categorical","Coordination and leadership","""Launched in October 2015, the Global Antimicrobial Resistance Surveillance System (GLASS) is being developed to support the global action plan on antimicrobial resistance. The aim is to support global surveillance and research in order to strengthen the evidence base on antimicrobial resistance (AMR) and help informing decision making and drive national, regional, and global actions.""","Has the country submitted data to GLASS within the past 12 months?","""GLASS promotes and supports a standardized approach to the collection, analysis and sharing of AMR data at a global level by encouraging and facilitating the establishment of national AMR surveillance systems that are capable of monitoring AMR trends and producing reliable and comparable data.""
	
	GLASS objectives:
	·       Foster national surveillance systems and harmonized global standards;
	·       estimate the extent and burden of AMR globally by selected indicators;
	·       analyse and report global data on AMR on a regular basis;
	·       detect emerging resistance and its international spread;
	·       inform implementation of targeted prevention and control programmes; and
	·       assess the impact of interventions.
	
	""Participation in GLASS promotes coordination and leadership domestically, to collect, analyze, and report national data, as well as globally, to benefit from and contribute to a global coordination mechanism with the aim of combatting antimicrobial resistance.""","""GLASS data submission reports, GLASS annual reports""","","Countries should aim to actively participate in GLASS and submit data according to their reporting requirements
Unit of Measure:	Yes/No","Annual
Cross References:	World Health Organization - Global Antimicrobial Resistance Surveillance System (GLASS)","","","https://www.who.int/glass/en/"
